"Landmark","Abbreviation","Definition.and.Measurement"
"Frontomalare anterior (left and right)","fmal; fmar","The anterior-most point of the fronto-malar suture (Howells, 1973). "
"Frontomalare temporale (left and right)","fmtl; fmtr","The lateral-most point of the fronto-malar suture (Howells, 1973). "
"Frontotemporale (left and right)","wfbl; wfbr","The anteriomedial-most point of the temporal line (Buikstra and Ubelaker, 1994; Martin, 1957). "
"Glabella","glb","The anterior-most point of the midsagittal plane on the frontal bone above the frontonasal suture (Buikstra and Ubelaker, 1994; Martin, 1957). "
"Jugale (left and right)","jugl; jugr","The point of the deepest curvature on the zygomatic bone between the temporal and frontal processes (Martin, 1957). "
"Lambda","lam","The meeting point of the sigittal and labmdoid sutures, when a wormian bone is present, extend the sagittal and lambdoid sutures with a pencile into the wormian and where the lines meet is the location of lambda (Buikstra and Ubelaker, 1994; Howells, 1973; Martin, 1957). "
"Lower orbital border ","obhi","The intersection point of the lower orbital rim and a line that bisects the orbit and is perpendicular to the long axis of the orbit, this point is an inside measurement and is taken at the superior apex of the lower orbital rim; location is determined by using a toothpick or similar object that is held perpendicular to the superior orbital border and moved until it bisects the orbit in half, where the toothpick crosses the lower border is where the point is located (Howells, 1973)."
"Mastoidale (left and right)","mastl; mastr","The most inferiolateral point of the mastoid process (Martin, 1957)."
"Maximum frontal point (left and right)","xfbl; xfbr","The point of the coronal suture where the frontal bone is at its maximum width, not on the temporal lines; instrumentally determine with spreading calipers; each caliper point on opposite ends of the frontal bone at symmetrical points, sliding them up and down along the coronal suture to find the maximum width (Howells, 1973)."
"Most inferior nasal border (left and right)","nlhil; nlhir","The inferior-most point on the lower rim of the nasal aperture on either side, at the beginning of the nasal floor (Howells, 1973). "
"Nasion","nas","The meeting point of the fronto-nasal suture and the midsagittal plane (Buikstra and Ubelaker, 1994; Howells, 1973; Martin, 1957)."
"Opisthocranion ","opg","The posterior-most point of the cranium on the occipital bone, farthest from glabella, the location should not be on the inion hook unless it is on a well-developed crest; instrumentall determined with spreading calipers, one caliper point on the glabella, and the other point on the occipital at the midsagittal plane and moved up and down until the maximum distance is found (Howells, 1973)."
"Opisthion","ops","The meeting point of the midsagittal plane and the posterior border of the foramen magnum; located on the inferior portion of the rim (Buikstra and Ubelaker, 1994; Howells, 1973; Martin, 1957)."
"Porion (left and right)","porl; porr","The superior-most point on the margin of the external auditory meatus (Martin, 1957)."
"Prosthion (Howells)","prosH","The anterior-most point on the midsagittal plane on the alveolar border, between the central incisors (Howells, 1973)."
"Roots of zygomatic processes (left and right)","aubl; aubr","The deepest incurvature of the roots of the zygomatic process; measured to the outside of the roots, generally slightly anterior to the meatus (Howells, 1973)."
"Stephanion (left and right)","stpl; stpr","The meeting point of the coronal suture and the inferior temporal line (the superior limit of the temporal muscle) (Howells, 1973)."
"Subspinale","ssp","The deepest incurvature point below the anterior nasal spine when viewed in profile (Howells, 1973)."
"Upper orbital border","obhs","The intersection point of the upper orbital rim and a line that bisects the orbit and is perpendicular to the long axis of the orbit, this point is an inside measurement and is taken at the inferior apex of the upper orbital rim; location is determined by using a toothpick or similar object that is held perpendicular to the superior orbital border and moved until it bisects the orbit in half, where the toothpick crosses the upper border is where the point is located (Howells, 1973). "
"Zygion (left and right)","zygl; zygr","The lateral-most point on the zygomatic arch (Buikstra and Ubelaker, 1994; Martin, 1957)."
"Zygomaxilare (left and right)","zygoml; zygomr","The inferior, anterior point of the zygomaxillary suture and the inferior orbital rim, taken midway between the facial and orbital floor surfaces (Howells, 1973)."
"Zygoorbitale (left and right)","zygool; zygoor","The meeting point of the zygomaxillary suture and the inferior orbital rim, taken midway between the facial and orbital floor surfaces (Howells, 1973)."
"Zygotemporale inferior (left and right)","zytil; zytir","The inferior-most point on the zygo-temporal suture (Howells, 1973)."
"Zygotemporale superior (left and right)","zytsl; zytsr","The superior-most point on the zygo-temporal suture (Howells, 1973). "
